,employee_id,age,gender,marital_status,city,education_level,years_experience,weekly_hours,department,bonus_percentage,performance_score,overtime_hours,monthly_income,income_class
0,1,39,Other,Single,Surabaya,S1,10,42.3,Marketing,6.5,64.3,5.8,7887,Low
1,2,34,Female,Single,Surabaya,S1,10,41,IT,9.7,87.6,,10870,High
2,3,40,Male,Married,Surabaya,SMA,4,42.3,HR,12.7,61.5,12.3,6228,Low
3,4,47,Female,Single,Jakarta,S1,4,42.2,Marketing,,81.6,13.3,7041,Low
4,5,33,Male,Married,Surabaya,D3,15,31.1,IT,11.5,71.9,13.7,9657,High
5,6,33,Female,Married,Jakarta,D3,12,43.2,HR,7.4,73.3,1.9,11030,High
6,7,48,Male,Divorced,Jakarta,S1,15,36.6,HR,,93.6,6.6,11961,High
7,8,41,Female,Single,Surabaya,S1,12,34.5,Sales,,62.5,3.2,10393,High
8,9,31,Female,Single,Jakarta,D3,11,34.5,HR,,80.9,10.9,10853,High
9,10,39,Male,Married,Bandung,S2,1,42.2,IT,,80.5,3.4,4159,Low
10,11,31,Male,Married,Jakarta,D3,9,38.9,Marketing,,108.5,0.1,8202,Low
11,12,31,Male,Divorced,Surabaya,S1,10,31.6,Marketing,7.4,64.2,8.8,7314,Low
12,13,37,Other,Married,Surabaya,D3,,42.4,Sales,,68.7,1,14143,High
13,14,20,Male,Married,Bandung,S1,13,32.8,IT,,83.2,11.3,10444,High
14,15,21,Female,Single,Bandung,S2,18,40.7,HR,,73,3.7,13680,High
15,16,31,Male,Single,Jakarta,SMA,13,41.2,Sales,6.6,70.4,5.8,12260,High
16,17,27,Male,Single,Jakarta,S2,6,44.4,Finance,10.7,84.6,1.4,7933,Low
17,18,38,Female,Single,Bandung,S1,,48.9,IT,8.7,72.3,18.3,10391,High
18,19,28,Female,Married,Surabaya,S1,11,33.2,Sales,7.9,66.1,2.7,7726,Low
19,20,24,Female,Married,Surabaya,SMA,5,39.7,Marketing,10.9,82.3,8.2,7340,Low
20,21,47,Female,Married,Bandung,S1,8,38.6,Sales,,78.8,1,7705,Low
21,22,33,Female,Married,Bandung,S1,9,42.2,,11.4,71.9,5.8,9606,High
22,23,,Male,Married,Surabaya,SMA,18,41.1,IT,,71.4,,12683,High
23,24,24,Male,Married,Surabaya,S2,0,38.2,Sales,11.5,65.9,11.5,5024,Low
24,25,,Male,Married,Jakarta,SMA,16,37.8,HR,,82.3,6.4,12166,High
25,26,36,Male,Married,Bandung,SMA,5,34.4,IT,,71.4,9.8,6934,Low
26,27,26,Other,Single,Bandung,S1,3,44.9,Sales,14.2,67.3,7.2,6380,Low
27,28,38,Female,Married,Bandung,S1,16,42.3,Sales,3.8,62.1,9.5,11304,High
28,29,30,Male,Married,Surabaya,S1,14,44.6,IT,12.4,78.9,13.7,11094,High
29,30,33,Female,Married,Jakarta,SMA,16,38.4,Marketing,,69.9,8.3,10564,High
30,31,30,Female,Single,Surabaya,S2,14,36.7,HR,13.7,54.9,11.1,10856,High
31,32,50,Male,Single,Bandung,SMA,20,34.6,IT,8.1,63,,11998,High
32,33,35,Female,Single,Bandung,SMA,13,41.8,HR,,72.7,8.4,10973,High
33,34,5,Male,Single,Bandung,SMA,9,34.8,HR,,72.9,,4361,Low
34,35,42,Female,Married,Bandung,S1,12,49.2,IT,,72.6,7.4,11734,High
35,36,25,Male,Married,Bandung,S2,16,33.5,Sales,,71.2,13.5,10243,High
36,37,,Female,Married,Surabaya,S1,6,41.4,,6.2,60.2,13.9,6183,Low
37,38,,Male,Single,Jakarta,S1,7,47.8,HR,,66.3,4.3,9655,High
38,39,24,Other,Single,Bandung,SMA,8,43,HR,,86.8,8.7,8619,Low
39,40,37,Male,Married,Bandung,S1,1,40.9,Sales,6.8,85.4,6.2,5434,Low
40,41,41,Male,Married,Bandung,D3,,35.2,,,80.8,14,8010,Low
41,42,,Female,Married,Surabaya,D3,1,33.1,Marketing,,79.9,7.6,4771,Low
42,43,34,Female,Married,Surabaya,SMA,10,43.9,HR,11.3,84,21,9248,High
43,44,33,Female,Married,Bandung,S1,14,47.5,HR,,63.8,11.1,11871,High
44,45,23,Female,Married,Bandung,S1,,37.8,IT,,75.3,15.9,9271,High
45,46,29,Female,Divorced,Bandung,S1,18,34.3,Sales,,63.8,4.9,11268,High
46,47,31,Male,Divorced,Bandung,D3,3,27.7,Finance,16.1,64,10.1,5184,Low
47,48,-5,Male,Divorced,Bandung,SMA,16,35.1,Sales,,78.7,13.1,11895,High
